spacecraft,groundstation,station_code,station_mode,filter_station,aos,los,aos_doy,los_doy,aos_time,los_time,aos_mt,doy,duration_min,peak_elevation,az_path,in_sun,mode,deleted,color,source_file,is_leafspace
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-26T20:29:50.569417+00:00,2026-09-26T20:38:37.731414+00:00,2026/269-20:29:50,2026/269-20:38:37,20:29:50,20:38:37,14:29:50,2026/269,8.8 min,9.7°,E→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-26T20:40:27.210855+00:00,2026-09-26T20:51:24.333383+00:00,2026/269-20:40:27,2026/269-20:51:24,20:40:27,20:51:24,14:40:27,2026/269,11.0 min,29.8°,SE→N,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-26T20:50:07.587365+00:00,2026-09-26T20:59:22.702826+00:00,2026/269-20:50:07,2026/269-20:59:22,20:50:07,20:59:22,14:50:07,2026/269,9.3 min,11.6°,E→N,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-26T21:33:50.787734+00:00,2026-09-26T21:42:42.736697+00:00,2026/269-21:33:50,2026/269-21:42:42,21:33:50,21:42:42,15:33:50,2026/269,8.9 min,9.9°,S→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP DELETED,BOULDER,2026-09-26T21:38:48.951807+00:00,2026-09-26T21:43:42.312843+00:00,2026/269-21:38:48,2026/269-21:43:42,21:38:48,21:43:42,15:38:48,2026/269,4.9 min,2.0°,NW→N,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-26T21:53:29.693591+00:00,2026-09-26T22:04:26.600598+00:00,2026/269-21:53:29,2026/269-22:04:26,21:53:29,22:04:26,15:53:29,2026/269,10.9 min,27.1°,S→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-26T22:01:41.033816+00:00,2026-09-26T22:12:28.756810+00:00,2026/269-22:01:41,2026/269-22:12:28,22:01:41,22:12:28,16:01:41,2026/269,10.8 min,25.4°,SE→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF,BOULDER,2026-09-26T22:14:46.332174+00:00,2026-09-26T22:24:52.813271+00:00,2026/269-22:14:46,2026/269-22:24:52,22:14:46,22:24:52,16:14:46,2026/269,10.1 min,15.9°,SW→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-26T22:22:09.449616+00:00,2026-09-26T22:33:15.410728+00:00,2026/269-22:22:09,2026/269-22:33:15,22:22:09,22:33:15,16:22:09,2026/269,11.1 min,32.5°,SE→N,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-26T23:09:22.361039+00:00,2026-09-26T23:20:05.174597+00:00,2026/269-23:09:22,2026/269-23:20:05,23:09:22,23:20:05,17:09:22,2026/269,10.7 min,24.9°,SW→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-26T23:18:14.334934+00:00,2026-09-26T23:23:41.482407+00:00,2026/269-23:18:14,2026/269-23:23:41,23:18:14,23:23:41,17:18:14,2026/269,5.5 min,2.5°,N→NE,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-26T23:34:54.106259+00:00,2026-09-26T23:46:29.596495+00:00,2026/269-23:34:54,2026/269-23:46:29,23:34:54,23:46:29,17:34:54,2026/269,11.6 min,76.0°,S→N,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-26T23:55:42.146422+00:00,2026-09-27T00:07:13.734792+00:00,2026/269-23:55:42,2026/270-00:07:13,23:55:42,00:07:13,17:55:42,2026/269,11.5 min,53.6°,S→N,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T00:46:02.668301+00:00,2026-09-27T00:57:11.338145+00:00,2026/270-00:46:02,2026/270-00:57:11,00:46:02,00:57:11,18:46:02,2026/270,11.1 min,38.3°,W→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T00:55:02.785187+00:00,2026-09-27T01:04:57.043498+00:00,2026/270-00:55:02,2026/270-01:04:57,00:55:02,01:04:57,18:55:02,2026/270,9.9 min,14.2°,NW→E,YES,UHF,False,#00d7ff,passes_manual.pkl,False
