spacecraft,groundstation,station_code,station_mode,filter_station,aos,los,aos_doy,los_doy,aos_time,los_time,aos_mt,doy,duration_min,peak_elevation,az_path,in_sun,mode,deleted,color,source_file,is_leafspace
CANVAS,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-28T02:05:57.931429+00:00,2026-09-28T02:17:24.281432+00:00,2026/271-02:05:57,2026/271-02:17:24,02:05:57,02:17:24,20:05:57,2026/271,11.4 min,79.9°,NW→SE,YES,UHF+SBD,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T02:29:37.385221+00:00,2026-09-28T02:35:53.013086+00:00,2026/271-02:29:37,2026/271-02:35:53,02:29:37,02:35:53,20:29:37,2026/271,6.3 min,3.5°,W→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T02:51:10.240735+00:00,2026-09-28T02:55:25.069214+00:00,2026/271-02:51:10,2026/271-02:55:25,02:51:10,02:55:25,20:51:10,2026/271,4.2 min,1.4°,W→NW,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T03:34:10.923510+00:00,2026-09-28T03:44:11.415003+00:00,2026/271-03:34:10,2026/271-03:44:11,03:34:10,03:44:11,21:34:10,2026/271,10.0 min,16.5°,W→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T03:44:47.466245+00:00,2026-09-28T03:52:03.077223+00:00,2026/271-03:44:47,2026/271-03:52:03,03:44:47,03:52:03,21:44:47,2026/271,7.3 min,5.4°,W→SW,YES,UHF,False,#00d7ff,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T05:12:07.412772+00:00,2026-09-28T05:18:28.335543+00:00,2026/271-05:12:07,2026/271-05:18:28,05:12:07,05:18:28,23:12:07,2026/271,6.3 min,3.9°,W→SW,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T09:06:36.512669+00:00,2026-09-28T09:16:42.035141+00:00,2026/271-09:06:36,2026/271-09:16:42,09:06:36,09:16:42,03:06:36,2026/271,10.1 min,15.6°,NE→SE,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-28T09:26:16.315681+00:00,2026-09-28T09:37:10.758713+00:00,2026/271-09:26:16,2026/271-09:37:10,09:26:16,09:37:10,03:26:16,2026/271,10.9 min,25.9°,NE→S,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T10:35:59.362817+00:00,2026-09-28T10:42:30.757837+00:00,2026/271-10:35:59,2026/271-10:42:30,10:35:59,10:42:30,04:35:59,2026/271,6.5 min,3.8°,NE→E,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T10:40:05.561327+00:00,2026-09-28T10:51:06.028286+00:00,2026/271-10:40:05,2026/271-10:51:06,10:40:05,10:51:06,04:40:05,2026/271,11.0 min,30.6°,N→SW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T10:55:38.444620+00:00,2026-09-28T11:03:28.488030+00:00,2026/271-10:55:38,2026/271-11:03:28,10:55:38,11:03:28,04:55:38,2026/271,7.8 min,6.2°,NE→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-28T11:00:15.233143+00:00,2026-09-28T11:10:32.328916+00:00,2026/271-11:00:15,2026/271-11:10:32,11:00:15,11:10:32,05:00:15,2026/271,10.3 min,18.8°,N→SW,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T12:09:11.092468+00:00,2026-09-28T12:19:58.598877+00:00,2026/271-12:09:11,2026/271-12:19:58,12:09:11,12:19:58,06:09:11,2026/271,10.8 min,22.1°,N→S,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T12:29:04.122722+00:00,2026-09-28T12:40:12.602021+00:00,2026/271-12:29:04,2026/271-12:40:12,12:29:04,12:40:12,06:29:04,2026/271,11.1 min,29.4°,N→S,YES,UHF,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T13:43:06.199548+00:00,2026-09-28T13:54:41.504899+00:00,2026/271-13:43:06,2026/271-13:54:41,13:43:06,13:54:41,07:43:06,2026/271,11.6 min,76.6°,N→SW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T14:02:59.707670+00:00,2026-09-28T14:14:28.664698+00:00,2026/271-14:02:59,2026/271-14:14:28,14:02:59,14:14:28,08:02:59,2026/271,11.5 min,55.8°,N→SW,YES,UHF,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T15:17:06.538075+00:00,2026-09-28T15:27:33.088621+00:00,2026/271-15:17:06,2026/271-15:27:33,15:17:06,15:27:33,09:17:06,2026/271,10.4 min,20.1°,N→W,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T15:36:56.757905+00:00,2026-09-28T15:47:00.359776+00:00,2026/271-15:36:56,2026/271-15:47:00,15:36:56,15:47:00,09:36:56,2026/271,10.1 min,16.5°,N→W,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T15:52:02.926527+00:00,2026-09-28T15:58:22.753004+00:00,2026/271-15:52:02,2026/271-15:58:22,15:52:02,15:58:22,09:52:02,2026/271,6.3 min,3.8°,SE→E,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T16:50:52.166538+00:00,2026-09-28T16:59:11.852384+00:00,2026/271-16:50:52,2026/271-16:59:11,16:50:52,16:59:11,10:50:52,2026/271,8.3 min,8.2°,N→W,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T17:10:33.898342+00:00,2026-09-28T17:18:29.575939+00:00,2026/271-17:10:33,2026/271-17:18:29,17:10:33,17:18:29,11:10:33,2026/271,7.9 min,7.1°,NE→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-28T17:26:07.952364+00:00,2026-09-28T17:37:35.305463+00:00,2026/271-17:26:07,2026/271-17:37:35,17:26:07,17:37:35,11:26:07,2026/271,11.5 min,63.8°,SW→NE,YES,UHF+SBD,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T18:23:48.089807+00:00,2026-09-28T18:30:46.010660+00:00,2026/271-18:23:48,2026/271-18:30:46,18:23:48,18:30:46,12:23:48,2026/271,7.0 min,5.0°,NE→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T18:43:12.777404+00:00,2026-09-28T18:50:11.546132+00:00,2026/271-18:43:12,2026/271-18:50:11,18:43:12,18:50:11,12:43:12,2026/271,7.0 min,5.0°,NE→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T19:04:39.333810+00:00,2026-09-28T19:14:38.907477+00:00,2026/271-19:04:39,2026/271-19:14:38,19:04:39,19:14:38,13:04:39,2026/271,10.0 min,14.6°,W→NE,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T19:46:32.726238+00:00,2026-09-28T19:54:15.014253+00:00,2026/271-19:46:32,2026/271-19:54:15,19:46:32,19:54:15,13:46:32,2026/271,7.7 min,6.6°,E→N,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T19:55:30.222494+00:00,2026-09-28T20:03:29.634547+00:00,2026/271-19:55:30,2026/271-20:03:29,19:55:30,20:03:29,13:55:30,2026/271,8.0 min,7.3°,NE→NW,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T20:05:17.051435+00:00,2026-09-28T20:14:29.930775+00:00,2026/271-20:05:17,2026/271-20:14:29,20:05:17,20:14:29,14:05:17,2026/271,9.2 min,11.6°,SE→N,YES,UHF,False,#ff5050,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T20:14:43.723790+00:00,2026-09-28T20:23:07.784387+00:00,2026/271-20:14:43,2026/271-20:23:07,20:14:43,20:23:07,14:14:43,2026/271,8.4 min,8.4°,E→N,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T20:42:01.127872+00:00,2026-09-28T20:50:22.525286+00:00,2026/271-20:42:01,2026/271-20:50:22,20:42:01,20:50:22,14:42:01,2026/271,8.4 min,8.2°,S→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T20:45:54.084775+00:00,2026-09-28T20:51:26.562774+00:00,2026/271-20:45:54,2026/271-20:51:26,20:45:54,20:51:26,14:45:54,2026/271,5.5 min,2.6°,NW→N,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T21:17:51.948568+00:00,2026-09-28T21:29:22.573703+00:00,2026/271-21:17:51,2026/271-21:29:22,21:17:51,21:29:22,15:17:51,2026/271,11.5 min,82.0°,S→N,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T21:27:02.799656+00:00,2026-09-28T21:37:10.117516+00:00,2026/271-21:27:02,2026/271-21:37:10,21:27:02,21:37:10,15:27:02,2026/271,10.1 min,17.1°,E→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-28T21:37:38.610477+00:00,2026-09-28T21:49:00.088152+00:00,2026/271-21:37:38,2026/271-21:49:00,21:37:38,21:49:00,15:37:38,2026/271,11.4 min,44.8°,S→N,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T21:46:22.362660+00:00,2026-09-28T21:56:52.187094+00:00,2026/271-21:46:22,2026/271-21:56:52,21:46:22,21:56:52,15:46:22,2026/271,10.5 min,20.9°,SE→N,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T22:17:16.294451+00:00,2026-09-28T22:27:50.651045+00:00,2026/271-22:17:16,2026/271-22:27:50,22:17:16,22:27:50,16:17:16,2026/271,10.6 min,22.5°,SW→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP DELETED,BOULDER,2026-09-28T22:25:58.036313+00:00,2026-09-28T22:30:46.747200+00:00,2026/271-22:25:58,2026/271-22:30:46,22:25:58,22:30:46,16:25:58,2026/271,4.8 min,1.9°,N→NE,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-28T22:54:51.989587+00:00,2026-09-28T23:01:14.076715+00:00,2026/271-22:54:51,2026/271-23:01:14,22:54:51,23:01:14,16:54:51,2026/271,6.4 min,3.7°,SW→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T22:59:39.938827+00:00,2026-09-28T23:11:09.511929+00:00,2026/271-22:59:39,2026/271-23:11:09,22:59:39,23:11:09,16:59:39,2026/271,11.5 min,59.3°,SE→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-28T23:19:15.449593+00:00,2026-09-28T23:30:50.465513+00:00,2026/271-23:19:15,2026/271-23:30:50,23:19:15,23:30:50,17:19:15,2026/271,11.6 min,81.0°,SE→N,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-28T23:53:50.182389+00:00,2026-09-29T00:04:57.765259+00:00,2026/271-23:53:50,2026/272-00:04:57,23:53:50,00:04:57,17:53:50,2026/271,11.1 min,37.3°,W→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T00:02:52.204217+00:00,2026-09-29T00:12:14.765097+00:00,2026/272-00:02:52,2026/272-00:12:14,00:02:52,00:12:14,18:02:52,2026/272,9.4 min,11.3°,NW→E,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T00:34:02.845318+00:00,2026-09-29T00:45:06.720511+00:00,2026/272-00:34:02,2026/272-00:45:06,00:34:02,00:45:06,18:34:02,2026/272,11.1 min,27.7°,S→N,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T00:54:00.981143+00:00,2026-09-29T01:04:42.761645+00:00,2026/272-00:54:00,2026/272-01:04:42,00:54:00,01:04:42,18:54:00,2026/272,10.7 min,20.9°,SW→N,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T01:30:51.561283+00:00,2026-09-29T01:41:53.665191+00:00,2026/272-01:30:51,2026/272-01:41:53,01:30:51,01:41:53,19:30:51,2026/272,11.0 min,33.7°,W→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-29T01:39:49.044589+00:00,2026-09-29T01:51:15.914880+00:00,2026/272-01:39:49,2026/272-01:51:15,01:39:49,01:51:15,19:39:49,2026/272,11.4 min,84.9°,NW→SE,YES,UHF+SBD,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T02:10:56.786659+00:00,2026-09-29T02:18:31.709002+00:00,2026/272-02:10:56,2026/272-02:18:31,02:10:56,02:18:31,20:10:56,2026/272,7.6 min,5.7°,SW→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T02:31:35.356428+00:00,2026-09-29T02:37:48.231425+00:00,2026/272-02:31:35,2026/272-02:37:48,02:31:35,02:37:48,20:31:35,2026/272,6.2 min,3.4°,W→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T03:08:02.270694+00:00,2026-09-29T03:18:10.163213+00:00,2026/272-03:08:02,2026/272-03:18:10,03:08:02,03:18:10,21:08:02,2026/272,10.1 min,17.5°,W→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T03:18:21.743387+00:00,2026-09-29T03:26:20.779294+00:00,2026/272-03:18:21,2026/272-03:26:20,03:18:21,03:26:20,21:18:21,2026/272,8.0 min,7.1°,W→S,YES,UHF,False,#00d7ff,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T04:45:51.375124+00:00,2026-09-29T04:52:40.377988+00:00,2026/272-04:45:51,2026/272-04:52:40,04:45:51,04:52:40,22:45:51,2026/272,6.8 min,4.7°,W→S,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T08:49:25.795062+00:00,2026-09-29T08:58:16.575742+00:00,2026/272-08:49:25,2026/272-08:58:16,08:49:25,08:58:16,02:49:25,2026/272,8.8 min,9.2°,NE→SE,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T09:08:23.554154+00:00,2026-09-29T09:18:29.424101+00:00,2026/272-09:08:23,2026/272-09:18:29,09:08:23,09:18:29,03:08:23,2026/272,10.1 min,15.8°,NE→SE,YES,UHF,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T10:18:48.169851+00:00,2026-09-29T10:23:35.203395+00:00,2026/272-10:18:48,2026/272-10:23:35,10:18:48,10:23:35,04:18:48,2026/272,4.8 min,1.9°,NE→E,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T10:22:18.861550+00:00,2026-09-29T10:33:43.278224+00:00,2026/272-10:22:18,2026/272-10:33:43,10:22:18,10:33:43,04:22:18,2026/272,11.4 min,51.7°,N→SW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T10:37:44.192312+00:00,2026-09-29T10:44:16.995961+00:00,2026/272-10:37:44,2026/272-10:44:16,10:37:44,10:44:16,04:37:44,2026/272,6.5 min,3.9°,NE→E,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-29T10:41:51.157362+00:00,2026-09-29T10:52:49.918736+00:00,2026/272-10:41:51,2026/272-10:52:49,10:41:51,10:52:49,04:41:51,2026/272,11.0 min,30.2°,N→SW,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T11:51:33.610723+00:00,2026-09-29T12:01:54.102066+00:00,2026/272-11:51:33,2026/272-12:01:54,11:51:33,12:01:54,05:51:33,2026/272,10.3 min,16.9°,NE→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T11:58:23.853985+00:00,2026-09-29T12:03:31.038098+00:00,2026/272-11:58:23,2026/272-12:03:31,11:58:23,12:03:31,05:58:23,2026/272,5.1 min,2.4°,NW→W,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T12:10:54.102030+00:00,2026-09-29T12:21:41.698345+00:00,2026/272-12:10:54,2026/272-12:21:41,12:10:54,12:21:41,06:10:54,2026/272,10.8 min,22.2°,N→S,YES,UHF,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T13:25:25.117799+00:00,2026-09-29T13:37:02.086514+00:00,2026/272-13:25:25,2026/272-13:37:02,13:25:25,13:37:02,07:25:25,2026/272,11.6 min,79.7°,N→S,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T13:44:47.069177+00:00,2026-09-29T13:56:21.988178+00:00,2026/272-13:44:47,2026/272-13:56:21,13:44:47,13:56:21,07:44:47,2026/272,11.6 min,76.1°,N→SW,YES,UHF,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T14:59:25.830107+00:00,2026-09-29T15:10:11.979829+00:00,2026/272-14:59:25,2026/272-15:10:11,14:59:25,15:10:11,08:59:25,2026/272,10.8 min,24.6°,N→SW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T15:18:45.207237+00:00,2026-09-29T15:29:11.216768+00:00,2026/272-15:18:45,2026/272-15:29:11,15:18:45,15:29:11,09:18:45,2026/272,10.4 min,20.0°,N→W,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T15:26:33.737872+00:00,2026-09-29T15:31:44.192255+00:00,2026/272-15:26:33,2026/272-15:31:44,15:26:33,15:31:44,09:26:33,2026/272,5.2 min,2.4°,SE→E,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T16:33:16.138230+00:00,2026-09-29T16:42:00.445046+00:00,2026/272-16:33:16,2026/272-16:42:00,16:33:16,16:42:00,10:33:16,2026/272,8.7 min,9.5°,N→W,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T16:52:28.531069+00:00,2026-09-29T17:00:47.876114+00:00,2026/272-16:52:28,2026/272-17:00:47,16:52:28,17:00:47,10:52:28,2026/272,8.3 min,8.2°,N→W,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-29T17:00:01.399110+00:00,2026-09-29T17:11:24.719390+00:00,2026/272-17:00:01,2026/272-17:11:24,17:00:01,17:11:24,11:00:01,2026/272,11.4 min,52.2°,SW→NE,YES,UHF+SBD,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T18:06:24.885577+00:00,2026-09-29T18:13:28.438231+00:00,2026/272-18:06:24,2026/272-18:13:28,18:06:24,18:13:28,12:06:24,2026/272,7.1 min,5.2°,NE→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-29T18:25:22.034438+00:00,2026-09-29T18:32:20.204740+00:00,2026/272-18:25:22,2026/272-18:32:20,18:25:22,18:32:20,12:25:22,2026/272,7.0 min,5.0°,NE→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T18:38:18.204516+00:00,2026-09-29T18:48:32.096862+00:00,2026/272-18:38:18,2026/272-18:48:32,18:38:18,18:48:32,12:38:18,2026/272,10.2 min,16.5°,W→NE,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T19:30:14.618938+00:00,2026-09-29T19:35:45.925237+00:00,2026/272-19:30:14,2026/272-19:35:45,19:30:14,19:35:45,13:30:14,2026/272,5.5 min,2.9°,E→NE,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T19:38:18.527263+00:00,2026-09-29T19:45:57.051712+00:00,2026/272-19:38:18,2026/272-19:45:57,19:38:18,19:45:57,13:38:18,2026/272,7.6 min,6.4°,NE→NW,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T19:48:04.000627+00:00,2026-09-29T19:55:47.929523+00:00,2026/272-19:48:04,2026/272-19:55:47,19:48:04,19:55:47,13:48:04,2026/272,7.7 min,6.6°,E→N,YES,UHF,False,#ff5050,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T19:57:01.908088+00:00,2026-09-29T20:05:01.982008+00:00,2026/272-19:57:01,2026/272-20:05:01,19:57:01,20:05:01,13:57:01,2026/272,8.0 min,7.3°,NE→NW,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T20:16:06.233178+00:00,2026-09-29T20:24:09.974422+00:00,2026/272-20:16:06,2026/272-20:24:09,20:16:06,20:24:09,14:16:06,2026/272,8.1 min,7.3°,S→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T20:19:24.632298+00:00,2026-09-29T20:25:18.077176+00:00,2026/272-20:19:24,2026/272-20:25:18,20:19:24,20:25:18,14:19:24,2026/272,5.9 min,3.0°,NW→N,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T21:00:17.069147+00:00,2026-09-29T21:11:41.176805+00:00,2026/272-21:00:17,2026/272-21:11:41,21:00:17,21:11:41,15:00:17,2026/272,11.4 min,56.6°,S→N,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T21:09:46.027527+00:00,2026-09-29T21:19:30.232706+00:00,2026/272-21:09:46,2026/272-21:19:30,21:09:46,21:19:30,15:09:46,2026/272,9.7 min,14.3°,E→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-29T21:19:21.959192+00:00,2026-09-29T21:30:52.803522+00:00,2026/272-21:19:21,2026/272-21:30:52,21:19:21,21:30:52,15:19:21,2026/272,11.5 min,81.5°,S→N,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T21:28:32.493594+00:00,2026-09-29T21:38:40.398713+00:00,2026/272-21:28:32,2026/272-21:38:40,21:28:32,21:38:40,15:28:32,2026/272,10.1 min,17.1°,E→N,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T21:51:12.217470+00:00,2026-09-29T22:01:41.673682+00:00,2026/272-21:51:12,2026/272-22:01:41,21:51:12,22:01:41,15:51:12,2026/272,10.5 min,21.3°,SW→E,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP DELETED,BOULDER,2026-09-29T21:59:46.825386+00:00,2026-09-29T22:04:18.543714+00:00,2026/272-21:59:46,2026/272-22:04:18,21:59:46,22:04:18,15:59:46,2026/272,4.5 min,1.7°,N→NE,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T22:35:55.427366+00:00,2026-09-29T22:44:26.964112+00:00,2026/272-22:35:55,2026/272-22:44:26,22:35:55,22:44:26,16:35:55,2026/272,8.5 min,8.3°,SW→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-29T22:42:07.147168+00:00,2026-09-29T22:53:27.904026+00:00,2026/272-22:42:07,2026/272-22:53:27,22:42:07,22:53:27,16:42:07,2026/272,11.3 min,44.4°,SE→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF,BOULDER,2026-09-29T22:56:20.571456+00:00,2026-09-29T23:02:41.653582+00:00,2026/272-22:56:20,2026/272-23:02:41,22:56:20,23:02:41,16:56:20,2026/272,6.4 min,3.7°,SW→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
